planet_name,planetary_mass,planetary_radius,orbital_period,star_mass,star_radius,star_teff,semi_major_axis,planet_updated,planet_discovered
109 Psc b,1825.9203480589085,12.912767999999998,1075.4,1.13,1.79,5600.0,2.051,2024-06-14,2000
51 Peg b,149.43105756358818,21.297099999999997,4.2308,1.03,1.176,5758.0,0.052,2024-09-01,1995
55 Cnc Ae,8.59387550200806,1.9470032999999998,0.7365478,0.9,0.963,5250.0,0.015439,2024-06-19,2004
AF Lep b,1192.2690763052249,14.5717,8875.0,1.2,1.25,6130.0,8.98,2024-11-12,2023
AU Mic b,8.90227576974568,4.7896057,8.463446,0.5,0.75,3700.0,0.07,2024-07-26,2020
AU Mic c,14.497991967871537,2.5197832,18.859023,0.5,0.75,3700.0,0.119,2025-05-26,2020
BD-14 3065 Ab,3932.898259705502,21.63337,4.2889731,1.41,2.35,6935.0,0.0656,2025-11-29,2024
BD+20 594 b,22.255689424364203,2.57807,41.6855,1.67,1.08,5766.0,0.241,2021-02-05,2016
beta Pic b,3783.467202141914,15.132150000000001,7707.0,1.73,1.8,8052.0,9.93,2025-11-17,2008
beta Pic c,2826.4725568942536,13.4508,1227.0,1.73,1.8,8052.0,2.68,2024-03-24,2019
CoRoT-10 b,874.3306559571649,10.872729999999999,13.2406,0.89,0.79,5075.0,0.1055,2014-08-29,2010
CoRoT-11 b,740.7965194109798,16.028869999999998,2.994325,1.27,1.36,6343.0,0.04351,2014-08-17,2010
CoRoT-12 b,291.549531459171,16.14096,2.8280517,1.078,1.116,5675.0,0.04016,2021-12-21,2010
CoRoT-13 b,415.86345381526246,9.919965,4.0350906,1.09,1.01,5945.0,0.051,2021-12-21,2010
CoRoT-14 b,2416.3319946452557,12.21781,1.51214,1.13,1.21,6035.0,0.027,2014-01-24,2010
CoRoT-16 b,170.0970548862121,13.114529999999998,5.35227,1.098,1.19,5650.0,0.0618,2014-01-24,2010
CoRoT-17 b,772.5903614457858,11.43318,3.768125,1.04,1.59,5740.0,0.0461,2014-01-24,2010
CoRoT-18 b,1103.2463186077682,14.68379,1.90009057,0.95,1.0,5440.0,0.0295,2021-12-21,2011
CoRoT-19 b,352.91164658634665,14.45961,3.8971372,1.21,1.65,6090.0,0.0518,2021-12-21,2011
CoRoT-1 b,327.4765729585018,16.70141,1.50896848,0.95,1.11,6298.0,0.0254,2021-12-21,2007
CoRoT-20 b,1348.0589022757745,9.41556,9.2431839,1.14,0.92,5880.0,0.0902,2021-12-21,2011
CoRoT-21 b,718.5408299866156,14.5717,2.72474,1.29,1.95,6200.0,0.0417,2014-01-24,2011
CoRoT-22 b,19.076305220883597,4.8803986,9.75598,1.099,1.136,5939.0,0.092,2024-08-06,2011
CoRoT-23 b,890.2275769745679,12.10572,3.6314,1.14,1.61,5900.0,0.0477,2025-01-30,2011
CoRoT-24 b,5.722891566265079,3.69897,5.1134,0.91,0.86,4950.0,0.056,2025-02-19,2011
CoRoT-24 c,27.97858099062928,4.93196,11.759,0.91,0.86,4950.0,0.098,2019-06-13,2011
CoRoT-25 b,85.8433734939762,12.10572,4.86069,1.09,1.19,6040.0,0.0578,2014-05-21,2012
CoRoT-26 b,165.3279785809912,14.123339999999999,4.20474,1.09,1.79,5590.0,0.0526,2014-05-27,2012
CoRoT-27 b,3303.3801874163437,11.287462999999999,3.57532,1.05,1.08,5900.0,0.0476,2014-07-10,2012
CoRoT-29 b,270.247657295851,10.0881,2.85057,0.976,0.9,5260.0,0.039,2015-04-27,2012
CoRoT-2 Ab,1052.3761713520787,16.421185,1.7429964,0.972,0.938,5529.0,0.0281,2024-08-03,2007
CoRoT-30 b,922.021419009374,11.309880999999999,9.06005,0.98,0.91,5660.0,0.0844,2019-09-02,2017
CoRoT-31 b,267.06827309237036,16.36514,4.62941,1.25,2.15,5370.0,0.0586,2019-09-02,2017
CoRoT-32 b,47.690763052209,6.389129999999999,6.71837,1.09,0.79,5970.0,0.071,2017-09-13,2017
CoRoT-35 b,349.732262382866,18.83112,3.22748,1.01,1.65,6390.0,0.0429,2022-07-19,2022
CoRoT-36 b,216.19812583668082,15.804689999999999,5.616531,1.32,1.52,6730.0,0.066,2022-07-19,2022
CoRoT-4 b,228.9156626506032,13.338709999999999,9.20166201,1.1,1.15,6190.0,0.09,2021-12-21,2008
CoRoT-5 b,148.47724230254403,14.90797,4.0379148,1.0,1.186,6100.0,0.04947,2021-12-21,2008
CoRoT-6 b,941.0977242302575,13.069693999999998,8.886593,1.055,1.025,6090.0,0.0855,2025-02-19,2009
CoRoT-7 Ab,6.063085676037504,1.524424,0.8535,0.93,0.87,5313.0,0.0172,2025-11-24,2009
CoRoT-8 b,68.61111111111134,6.3801628,6.21229,0.88,0.77,5080.0,0.063,2025-11-24,2010
CoRoT-9 Ab,267.06827309237036,10.53646,95.273804,0.99,0.94,5625.0,0.407,2024-08-03,2010
DH Tau b,3815.26104417672,29.1434,2722900.0,0.41,1.26,3600.0,330.0,2025-08-16,2005
DS Tuc Ab,14.402610441767118,5.6997765,8.138268,0.959,0.872,5597.0,0.0795,2024-08-04,2019
G 9-40 b,4.13319946452478,1.9055300000000002,5.7459982,0.29,0.31,3348.0,0.0418,2022-08-16,2019
Gaia-1 b,534.1365461847407,13.775861,3.042524,0.93,0.962,5370.0,0.04047,2022-07-06,2021
Gaia-2 b,245.76639892905038,14.874343,3.6915237,1.0,1.064,5720.0,0.0467,2022-07-06,2021
GJ 1018 b,2.6802208835341457,1.5199403999999999,7.397225,0.427,0.428,3433.0,0.0559,2023-05-11,2023
GJ 1132 b,1.659638554216873,1.1601314999999999,1.628931,0.181,0.207,3270.0,0.0154,2023-11-22,2015
GJ 1214 b,8.174196787148622,2.74205767,1.580404497,0.15,0.216,3026.0,0.01411,2025-11-24,2009
GJ 1252 b,1.319444444444449,1.1803077,0.5182349,0.381,0.391,3458.0,0.00916,2022-08-22,2018
GJ 143 b,22.700803212851486,2.6105761,35.61253,0.76,0.73,4640.0,0.1932,2024-07-12,2018
GJ 143 c,3.700803212851418,0.8920122199999999,7.78993,0.76,0.73,4640.0,0.0695,2025-02-19,2018
GJ 3090 b,3.3415327978581106,2.1297099999999998,2.8531054,0.519,0.516,3556.0,0.03165,2022-07-29,2022
GJ 341 b,0.7217202141900961,0.9202589,7.576863,0.522,0.525,3745.0,0.0608,2024-06-13,2023
GJ 3470 b,13.893908969210223,4.35200634,3.336649,0.51,0.48,3652.0,0.03557,2024-07-20,2012
GJ 3473 Ab,1.859939759036151,1.26403893,1.1980035,0.36,0.364,3347.0,0.01589,2025-03-12,2020
GJ 357 b,2.0875836680053617,1.16696899,3.93086,0.342,0.337,3505.0,0.033,2020-07-21,2019
GJ 367  b,0.546218206157967,0.5895934,0.3219225,0.454,0.457,3522.0,0.0069,2024-03-24,2021
GJ 3929 b,1.2113453815261086,1.1500434,2.6162745,0.309,0.35,3369.0,0.02569,2022-02-03,2022
GJ 436 b,18.55488621151278,3.6450547099999997,2.64394,0.452,0.464,3684.0,0.02887,2025-11-24,2004
GJ 486 b,2.820113788487292,1.3050638700000001,1.467119,0.323,0.328,3340.0,0.01734,2023-05-02,2021
GJ 777 Ad,11.509370816599773,2.01762,88.69,0.98,1.168,5549.0,0.3886,2025-08-26,2020
GJ 7 b,3.169846050870158,1.3596517,10.215213,0.467,0.44,3650.0,0.0675,2025-12-16,2023
GJ 9827 b,4.870816599732279,1.52901969,1.2089765,0.659,0.651,4255.0,0.01866,2023-12-10,2017
GJ 9827 c,1.9203480589022823,1.199363,3.648086,0.659,0.651,4255.0,0.03896,2023-12-10,2017
GJ 9827 d,3.4210174029451257,1.95496169,6.20183,0.659,0.651,4255.0,0.0555,2023-12-10,2017
Gliese 12 b,0.7090026773761738,0.90400585,12.761416,0.241,0.269,3253.0,0.066,2025-06-26,2024
HAT-P-10 Ab,146.25167336010762,11.713404999999998,3.722469,0.82,0.81,4980.0,0.0439,2024-07-31,2008
HAT-P-11 b,23.400267737617217,4.360301,4.887802443,0.809,0.683,4780.0,0.053,2025-11-24,2009
HAT-P-12 b,66.92282138639581,10.637341,3.2130598,0.73,0.7,4650.0,0.0384,2025-07-28,2009
HAT-P-13 b,286.144578313254,16.14096,2.916415,1.22,1.56,5638.0,0.045,2024-08-05,2009
HAT-P-14 Ab,777.0414993306586,11.32109,4.627686,1.386,1.468,6600.0,0.0606,2024-07-31,2010
HAT-P-15 b,618.7081659973247,12.016048,10.863502,1.013,1.08,5568.0,0.0964,2018-12-17,2010
HAT-P-16 Ab,1333.1157965194154,14.448400999999999,2.77596,1.218,1.237,6158.0,0.0413,2024-07-31,2010
